GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - 12:00 a.m. to 4:59 a.m.,Margin of Error; Total: - 12:00 a.m. to 4:59 a.m.,Estimate; Total: - 5:00 a.m. to 5:29 a.m.,Margin of Error; Total: - 5:00 a.m. to 5:29 a.m.,Estimate; Total: - 5:30 a.m. to 5:59 a.m.,Margin of Error; Total: - 5:30 a.m. to 5:59 a.m.,Estimate; Total: - 6:00 a.m. to 6:29 a.m.,Margin of Error; Total: - 6:00 a.m. to 6:29 a.m.,Estimate; Total: - 6:30 a.m. to 6:59 a.m.,Margin of Error; Total: - 6:30 a.m. to 6:59 a.m.,Estimate; Total: - 7:00 a.m. to 7:29 a.m.,Margin of Error; Total: - 7:00 a.m. to 7:29 a.m.,Estimate; Total: - 7:30 a.m. to 7:59 a.m.,Margin of Error; Total: - 7:30 a.m. to 7:59 a.m.,Estimate; Total: - 8:00 a.m. to 8:29 a.m.,Margin of Error; Total: - 8:00 a.m. to 8:29 a.m.,Estimate; Total: - 8:30 a.m. to 8:59 a.m.,Margin of Error; Total: - 8:30 a.m. to 8:59 a.m.,Estimate; Total: - 9:00 a.m. to 9:59 a.m.,Margin of Error; Total: - 9:00 a.m. to 9:59 a.m.,Estimate; Total: - 10:00 a.m. to 10:59 a.m.,Margin of Error; Total: - 10:00 a.m. to 10:59 a.m.,Estimate; Total: - 11:00 a.m. to 11:59 a.m.,Margin of Error; Total: - 11:00 a.m. to 11:59 a.m.,Estimate; Total: - 12:00 p.m. to 3:59 p.m.,Margin of Error; Total: - 12:00 p.m. to 3:59 p.m.,Estimate; Total: - 4:00 p.m. to 11:59 p.m.,Margin of Error; Total: - 4:00 p.m. to 11:59 p.m.
310M100US18140,18140,"Columbus, OH Metro Area",849498,3684,27342,1020,21978,975,34211,1369,62903,1487,88263,1795,124386,2411,119378,2607,95278,2287,55959,1769,50223,1494,23853,1136,12942,1007,66904,1701,65878,1953
310M100US18180,18180,"Concord, NH Micro Area",70614,1014,2950,394,2405,258,3178,310,6871,509,8077,562,11847,636,10060,566,7713,576,3454,379,3153,364,1435,245,508,131,4628,388,4335,413
310M100US18220,18220,"Connersville, IN Micro Area",8802,503,823,188,298,103,649,176,606,129,741,181,957,166,879,197,855,194,332,112,388,129,234,97,140,74,812,153,1088,216
310M100US18260,18260,"Cookeville, TN Micro Area",40668,1116,2013,270,1539,235,2310,357,3837,454,4984,570,10046,701,5342,497,1985,302,1092,232,1409,223,770,207,357,118,2667,409,2317,288
310M100US18300,18300,"Coos Bay, OR Micro Area",22515,734,1555,264,867,236,1113,274,1514,309,2088,330,2849,410,3664,414,1695,281,1132,255,1611,309,795,189,348,154,1892,326,1392,276
310M100US18340,18340,"Corbin, KY Micro Area",11964,684,786,216,485,194,415,142,877,224,1131,218,1658,316,1843,280,1157,263,538,158,496,160,54,33,196,105,1256,235,1072,207
310M100US18380,18380,"Cordele, GA Micro Area",8133,493,322,133,217,124,520,225,333,135,915,198,1390,285,1478,245,924,222,317,141,397,135,363,201,56,52,529,184,372,137
310M100US18420,18420,"Corinth, MS Micro Area",14278,573,602,175,378,145,716,183,1492,303,2054,332,2158,315,1910,285,1387,275,358,145,652,231,284,110,153,133,1014,260,1120,246
310M100US18460,18460,"Cornelia, GA Micro Area",16208,699,1093,247,359,129,846,221,1162,197,1670,301,3145,377,2701,378,1188,197,618,172,739,190,388,140,142,91,1033,244,1124,214
310M100US18500,18500,"Corning, NY Micro Area",40770,699,1873,215,1585,234,2584,309,3506,254,5090,354,6083,385,6188,375,3774,350,1741,219,1663,203,661,139,360,106,2973,303,2689,341
310M100US18580,18580,"Corpus Christi, TX Metro Area",182037,2040,8044,706,6759,646,9225,762,12962,967,17838,1054,27071,1174,29528,1130,19239,978,8733,745,10276,861,5480,621,2462,460,11889,815,12531,845
